0;;
1;;
2;[ 0.99999319 -0.00235987 -0.00283586  0.00720542] [ 0.00235238  0.99999374 -0.00264197 -0.01077409] [0.00284208 0.00263528 0.99999249 0.97250647] [0. 0. 0. 1.];[ 0.99999319 -0.00235987 -0.00283586  0.00720542] [ 0.00235238  0.99999374 -0.00264197 -0.01077409] [0.00284208 0.00263528 0.99999249 0.97250647] [0. 0. 0. 1.]
3;[ 0.99998604 -0.00215221 -0.00482664  0.00552808] [ 0.00213456  0.99999103 -0.00365843 -0.03347635] [0.00483447 0.00364808 0.99998166 1.45724584] [0. 0. 0. 1.];[ 0.99998604 -0.00215221 -0.00482664  0.00552808] [ 0.00213456  0.99999103 -0.00365843 -0.03347635] [0.00483447 0.00364808 0.99998166 1.45724584] [0. 0. 0. 1.]
4;[ 0.99998605 -0.00229564 -0.00475757 -0.00221189] [ 0.00227889  0.9999912  -0.00352321 -0.03502557] [0.00476562 0.00351232 0.99998248 1.46607431] [0. 0. 0. 1.];[ 0.99997078 -0.00504794 -0.00574046 -0.01354729] [ 0.005017    0.99997289 -0.00539018 -0.03447527] [0.00576751 0.00536122 0.999969   1.92935742] [0. 0. 0. 1.]
5;[ 0.99997274 -0.00474732 -0.00565591 -0.01880674] [ 0.004717    0.9999745  -0.00536141 -0.03843809] [0.00568122 0.00533458 0.99996963 1.92675824] [0. 0. 0. 1.];[ 0.99994321 -0.00666387 -0.00831724  0.00455714] [ 0.00660988  0.99995701 -0.00650242 -0.06898849] [0.00836022 0.00644708 0.99994427 2.41799075] [0. 0. 0. 1.]
6;[ 0.99994342 -0.00707395 -0.00794473 -0.0136122 ] [ 0.00702081  0.99995293 -0.00669612 -0.06271119] [0.00799173 0.00663997 0.99994602 2.42552435] [0. 0. 0. 1.];[ 0.99993013 -0.00837463 -0.00834297 -0.02517719] [ 0.0083068   0.99993243 -0.00813255 -0.05782516] [0.00841051 0.00806267 0.99993213 2.89630733] [0. 0. 0. 1.]
7;[ 0.99992358 -0.00852231 -0.00895578 -0.01963959] [ 0.00844602  0.99992802 -0.00852188 -0.04963313] [0.00902776 0.00844558 0.99992358 2.89880874] [0. 0. 0. 1.];[ 0.99992141 -0.0088304  -0.00889902 -0.06142068] [ 0.00875809  0.99992858 -0.00813232 -0.05646964] [0.0089702  0.00805374 0.99992733 3.41868088] [0. 0. 0. 1.]
8;[ 0.99992358 -0.00852231 -0.00895578 -0.01963959] [ 0.00844602  0.99992802 -0.00852188 -0.04963313] [0.00902776 0.00844558 0.99992358 2.89880874] [0. 0. 0. 1.];[ 0.99990775 -0.00824198 -0.01079642 -0.04042072] [ 0.00816253  0.99993943 -0.00738273 -0.09294327] [0.01085661 0.00729392 0.99991446 3.88602644] [0. 0. 0. 1.]
9;[ 0.9999098  -0.00824047 -0.01060611 -0.05272001] [ 0.0081607   0.99993825 -0.00754268 -0.09041092] [0.01066761 0.00745544 0.99991531 3.88886406] [0. 0. 0. 1.];[ 0.99989778 -0.00780773 -0.01197754 -0.03818904] [ 0.00768088  0.99991431 -0.01060061 -0.10100504] [0.01205928 0.01050753 0.99987207 4.39868319] [0. 0. 0. 1.]
10;[ 0.9999098  -0.00824047 -0.01060611 -0.05272001] [ 0.0081607   0.99993825 -0.00754268 -0.09041092] [0.01066761 0.00745544 0.99991531 3.88886406] [0. 0. 0. 1.];[ 0.99991139 -0.00611395 -0.01182534 -0.08596476] [ 0.0059522   0.9998889  -0.01366567 -0.12580294] [0.01190757 0.01359407 0.99983669 4.89891822] [0. 0. 0. 1.]
11;[ 0.99991139 -0.00611395 -0.01182534 -0.08596476] [ 0.0059522   0.9998889  -0.01366567 -0.12580294] [0.01190757 0.01359407 0.99983669 4.89891822] [0. 0. 0. 1.];[ 0.99990958 -0.00561349 -0.01221963 -0.11309848] [ 0.00538803  0.99981609 -0.01840545 -0.11333388] [0.0123207  0.01833795 0.99975593 5.43123987] [0. 0. 0. 1.]
12;[ 0.99991017 -0.00577601 -0.01209491 -0.08643527] [ 0.00560496  0.99988447 -0.01412894 -0.12142333] [0.01217512 0.01405988 0.99982703 4.90407402] [0. 0. 0. 1.];[ 0.99990587 -0.00272884 -0.01344634 -0.1217469 ] [ 0.00247053  0.9998128  -0.0191903  -0.12037344] [0.01349619 0.01915528 0.99972543 5.96261898] [0. 0. 0. 1.]
13;[ 0.99990587 -0.00272884 -0.01344634 -0.1217469 ] [ 0.00247053  0.9998128  -0.0191903  -0.12037344] [0.01349619 0.01915528 0.99972543 5.96261898] [0. 0. 0. 1.];[ 9.99892649e-01 -2.73507825e-04 -1.46497982e-02 -1.41359871e-01] [ 9.58511000e-05  9.99926470e-01 -1.21262356e-02 -1.35887657e-01] [0.01465204 0.01212353 0.99981915 6.53759464] [0. 0. 0. 1.]
14;[ 0.99989674 -0.00254193 -0.01414371 -0.11441512] [ 0.00226609  0.99980758 -0.01948488 -0.11636621] [0.01419051 0.01945082 0.99971011 5.96008234] [0. 0. 0. 1.];[ 9.99879853e-01  2.34053296e-04 -1.54991694e-02 -1.43545227e-01] [-2.61585675e-04  9.99998392e-01 -1.77437423e-03 -1.41196808e-01] [1.54987292e-02 1.77821540e-03 9.99878306e-01 7.07873190e+00] [0. 0. 0. 1.]
